ec5_uuid,created_at,uploaded_at,title,1_Surveyor_Name,2_Park_Location,3_Tree_ID,4_Photo,5_Tree_Height_ft,lat_6_Location,long_6_Location,accuracy_6_Location,UTM_Northing_6_Location,UTM_Easting_6_Location,UTM_Zone_6_Location,7_Diameter_at_Breast,8_Tree_Spread_tip_to,9_Tree_Spread_tip_to,10_Tree_Condition,11_Notes_eg_mushroom,Species
e84f97f5-54f3-4ef6-8ecc-190a1f2f3f8c,2026-07-03T13:58:02.000Z,2026-07-03T13:59:56.000Z,e84f97f5-54f3-4ef6-8ecc-190a1f2f3f8c,Matt,RH-P,57,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=e84f97f5-54f3-4ef6-8ecc-190a1f2f3f8c_1783087050.jpg,5,39.657521,-75.75659,10,4390020,435095,18S,29,0,0,Stump,,
14398d36-7385-4182-8f56-f11d3ff3c1d1,2026-07-03T13:57:14.000Z,2026-07-03T13:59:51.000Z,14398d36-7385-4182-8f56-f11d3ff3c1d1,Matt,RH-P,56,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=14398d36-7385-4182-8f56-f11d3ff3c1d1_1783086834.jpg,168,39.657547,-75.756559,4,4390022,435098,18S,34,59,45,Poor,Rot at bottom,
602322f2-f9ea-4256-9bab-3d9f0a3279eb,2026-07-03T13:53:13.000Z,2026-07-03T13:59:46.000Z,602322f2-f9ea-4256-9bab-3d9f0a3279eb,Matt,RH-P,55,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=602322f2-f9ea-4256-9bab-3d9f0a3279eb_1783086732.jpg,147,39.657466,-75.756489,7,4390013,435104,18S,29,45,60,Good,,
0f6caa6a-99c6-4505-9538-b738f4c6c3e9,2026-07-03T13:51:30.000Z,2026-07-03T13:59:41.000Z,0f6caa6a-99c6-4505-9538-b738f4c6c3e9,Matt,RH-P,54,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=0f6caa6a-99c6-4505-9538-b738f4c6c3e9_1783086613.jpg,143,39.657543,-75.75649,8,4390022,435104,18S,32,55,35,Poor,possible Carpenter ants,
b73fb3d5-2a69-4f29-9dac-83700ff1dd55,2026-07-03T13:49:48.000Z,2026-07-03T13:59:35.000Z,b73fb3d5-2a69-4f29-9dac-83700ff1dd55,Matt,RH-P,53,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=b73fb3d5-2a69-4f29-9dac-83700ff1dd55_1783086551.jpg,138,39.65745,-75.756574,14,4390012,435097,18S,24,45,55,Good,,
1ac931a0-d5dc-4438-9289-70513bf4f8b4,2026-07-03T13:48:39.000Z,2026-07-03T13:59:30.000Z,1ac931a0-d5dc-4438-9289-70513bf4f8b4,Matt,RH-P,52,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=1ac931a0-d5dc-4438-9289-70513bf4f8b4_1783086418.jpg,165,39.657478,-75.756563,9,4390015,435098,18S,31,45,100,Poor,,
20f8bfcb-bcb0-43c1-af35-94b08111fe56,2026-07-03T13:46:41.000Z,2026-07-03T13:59:25.000Z,20f8bfcb-bcb0-43c1-af35-94b08111fe56,Matt,RH-P,51,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=20f8bfcb-bcb0-43c1-af35-94b08111fe56_1783086294.jpg,134,39.657455,-75.756716,9,4390012,435084,18S,29,45,47,Poor,,
af12526a-0ce0-4d06-9911-4f2b614c0997,2026-07-03T13:43:11.000Z,2026-07-03T13:59:20.000Z,af12526a-0ce0-4d06-9911-4f2b614c0997,Matt,RH-P,50,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=af12526a-0ce0-4d06-9911-4f2b614c0997_1783086123.jpg,157,39.657391,-75.7565,7,4390005,435103,18S,42,65,60,Poor,"Mushrooms at base, and small rot.",
8ce1e988-c6d5-4e4c-bd89-19d944bed544,2026-07-03T13:41:41.000Z,2026-07-03T13:59:15.000Z,8ce1e988-c6d5-4e4c-bd89-19d944bed544,Matt,RH-P,49,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=8ce1e988-c6d5-4e4c-bd89-19d944bed544_1783086036.jpg,165,39.657386,-75.756359,7,4390004,435115,18S,40,65,143,Good,,
44ff7754-d9ec-44d1-a074-970ed4b06614,2026-07-03T13:40:09.000Z,2026-07-03T13:59:10.000Z,44ff7754-d9ec-44d1-a074-970ed4b06614,Matt,RH-P,48,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=44ff7754-d9ec-44d1-a074-970ed4b06614_1783085895.jpg,148,39.657211,-75.756545,6,4389985,435099,18S,51,65,130,Good,Multi branch,
